Team,Season,Record,Points,GP,TOI 5v5,GF 5v5,GA 5v5,FF 5v5,FA 5v5,xGF 5v5,xGA 5v5
Anaheim Ducks,07-08,47-27-8,102,82,3537:41:00,111,98,2144,2100,111.78,118.88
Atlanta Thrashers,07-08,34-40-8,76,82,3721:04:00,125,172,2002,2717,112.91,145.55
Boston Bruins,07-08,41-29-12,94,82,3715:35:00,123,118,2427,2382,121.72,126.39
Buffalo Sabres,07-08,39-31-12,90,82,3631:13:00,158,144,2346,2300,131.69,124.96
Calgary Flames,07-08,42-30-10,94,82,3610:01:00,144,132,2339,2254,132.1,117.0
Carolina Hurricanes,07-08,43-33-6,92,82,3556:34:00,153,145,2581,2392,142.6,140.63
Chicago Blackhawks,07-08,40-34-8,88,82,3535:19:00,143,133,2087,2105,117.11,121.97
Colorado Avalanche,07-08,44-31-7,95,82,3751:05:00,156,138,2294,2343,134.95,126.75
Columbus Blue Jackets,07-08,34-36-12,80,82,3580:45:00,111,125,2268,2054,120.48,104.19
Dallas Stars,07-08,45-30-7,97,82,3630:37:00,142,131,2218,2172,119.06,117.3
Detroit Red Wings,07-08,54-21-7,115,82,3586:21:00,146,103,2714,1880,136.4,105.09
Edmonton Oilers,07-08,41-35-6,88,82,3636:05:00,143,166,2255,2585,130.97,141.52
Florida Panthers,07-08,38-35-9,85,82,3703:07:00,133,136,2497,2704,126.52,143.75
Los Angeles Kings,07-08,32-43-7,71,82,3684:54:00,137,174,2306,2787,129.16,159.47
Minnesota Wild,07-08,44-28-10,98,82,3683:58:00,135,139,2266,2479,108.52,122.17
Montreal Canadiens,07-08,47-25-10,104,82,3634:43:00,144,138,2266,2603,121.9,141.66
Nashville Predators,07-08,41-32-9,91,82,3623:13:00,147,146,2421,2403,142.24,133.52
New Jersey Devils,07-08,46-29-7,99,82,3747:30:00,122,121,2357,2177,129.58,120.87
New York Islanders,07-08,35-38-9,79,82,3637:13:00,119,132,2432,2422,142.18,139.93
New York Rangers,07-08,42-26-13,97,81,3621:49:00,131,111,2567,2079,145.59,125.72
Ottawa Senators,07-08,42-31-8,92,81,3576:37:00,161,147,2424,2376,134.99,135.07
Philadelphia Flyers,07-08,42-29-11,95,82,3510:14:00,125,137,2188,2505,118.74,132.58
Arizona Coyotes,07-08,38-37-7,83,82,3696:24:00,122,134,2524,2618,130.13,143.02
Pittsburgh Penguins,07-08,47-27-8,102,82,3578:27:00,142,122,2192,2542,126.77,127.99
San Jose Sharks,07-08,49-23-10,108,82,3650:25:00,130,120,2417,1958,143.45,106.93
St Louis Blues,07-08,33-36-13,79,82,3632:03:00,136,141,2193,2330,119.46,130.97
Tampa Bay Lightning,07-08,31-42-9,71,82,3805:58:00,136,174,2402,2398,128.47,125.7
Toronto Maple Leafs,07-08,36-35-11,83,82,3637:22:00,147,155,2609,2405,138.69,140.15
Vancouver Canucks,07-08,39-33-10,88,82,3561:15:00,125,125,2180,2342,115.35,125.76
Washington Capitals,07-08,43-31-8,94,82,3675:58:00,146,136,2655,2159,149.38,117.41
Anaheim Ducks,08-09,42-33-7,91,82,3655:41:00,146,131,2454,2401,138.58,132.91
Atlanta Thrashers,08-09,35-41-6,76,82,3611:44:00,147,159,2247,2593,133.57,151.18
Boston Bruins,08-09,53-19-10,116,82,3806:50:00,168,115,2542,2513,141.13,140.79
Buffalo Sabres,08-09,41-32-9,91,82,3649:58:00,152,144,2457,2521,130.85,123.22
Calgary Flames,08-09,46-30-6,98,82,3604:18:00,162,155,2724,2362,149.15,128.76
Carolina Hurricanes,08-09,45-30-7,97,82,3677:26:00,135,136,2759,2508,146.53,139.85
Chicago Blackhawks,08-09,46-24-12,104,82,3684:46:00,150,128,2636,2154,141.26,125.74
Colorado Avalanche,08-09,32-45-5,69,82,3774:52:00,124,167,2385,2575,126.3,131.0
Columbus Blue Jackets,08-09,41-31-10,92,82,3693:04:00,153,131,2375,2156,128.47,119.74
Dallas Stars,08-09,36-35-11,83,82,3667:15:00,150,159,2410,2369,123.81,127.87
Detroit Red Wings,08-09,51-21-10,112,82,3714:48:00,173,142,2873,2250,139.19,123.5
Edmonton Oilers,08-09,38-35-9,85,82,3671:26:00,150,145,2361,2657,137.77,146.67
Florida Panthers,08-09,41-30-11,93,82,3783:17:00,150,145,2469,2931,136.54,157.55
Los Angeles Kings,08-09,34-37-11,79,82,3590:24:00,113,136,2431,2348,129.97,122.46
Minnesota Wild,08-09,40-33-9,89,82,3774:32:00,122,136,2291,2575,107.88,125.02
Montreal Canadiens,08-09,41-30-11,93,82,3617:24:00,144,148,2360,2617,130.13,144.34
Nashville Predators,08-09,40-34-8,88,82,3716:36:00,133,139,2441,2545,133.96,145.84
New Jersey Devils,08-09,51-27-4,106,82,3758:49:00,148,119,2632,2376,139.21,120.78
New York Islanders,08-09,26-47-9,61,82,3688:48:00,117,173,2362,2816,135.1,156.13
New York Rangers,08-09,43-30-9,95,82,3660:05:00,124,142,2684,2456,164.78,153.84
Ottawa Senators,08-09,36-35-11,83,82,3674:48:00,125,142,2321,2371,125.1,128.11
Philadelphia Flyers,08-09,44-27-11,99,82,3622:53:00,151,152,2445,2610,137.41,145.58
Arizona Coyotes,08-09,36-39-7,79,82,3781:47:00,133,159,2320,2777,118.91,144.13
Pittsburgh Penguins,08-09,45-28-9,99,82,3630:19:00,164,139,2345,2445,131.35,130.95
San Jose Sharks,08-09,53-18-11,117,82,3738:24:00,131,122,2659,2203,151.74,124.39
St Louis Blues,08-09,41-31-10,92,82,3613:16:00,130,140,2294,2376,126.51,128.35
