Team,Season,Record,Points,GP,TOI 5v5,GF 5v5,GA 5v5,FF 5v5,FA 5v5,xGF 5v5,xGA 5v5
Anaheim Ducks,24-25,10-13-4,24,27,1314:58,43,52,892,1054,52.6,67.73
Boston Bruins,24-25,15-12-3,33,30,1386:54,49,54,868,930,54.53,51.51
Buffalo Sabres,24-25,11-14-4,26,29,1367:45,60,62,977,940,56.15,57.48
Calgary Flames,24-25,14-10-5,33,29,1407:25,44,46,995,970,55.85,55.81
Carolina Hurricanes,24-25,18-9-1,37,28,1321:05,63,58,1093,779,67.49,51.63
Chicago Blackhawks,24-25,9-17-2,20,28,1379:13,44,55,829,990,48.62,59.8
Colorado Avalanche,24-25,17-13-0,34,30,1452:32,61,67,1025,903,61.04,57.43
Columbus Blue Jackets,24-25,12-13-3,27,28,1369:13,68,63,981,927,59.43,58.82
Dallas Stars,24-25,17-10-0,34,27,1286:24,60,46,912,862,56.88,52.35
Detroit Red Wings,24-25,11-13-4,26,28,1374:17,42,50,841,1038,47.68,56.29
Edmonton Oilers,24-25,16-10-2,34,28,1409:38,55,55,1051,872,63.97,54.31
Florida Panthers,24-25,18-9-2,38,29,1388:28,65,60,1022,900,59.44,50.62
Los Angeles Kings,24-25,17-8-3,37,28,1333:47,59,42,978,811,59.62,44.98
Minnesota Wild,24-25,19-5-4,42,28,1398:04,61,36,951,923,53.25,46.82
Montreal Canadiens,24-25,11-14-3,25,28,1314:52,49,70,798,949,52.51,65.26
Nashville Predators,24-25,7-16-6,20,29,1372:18,35,60,961,969,55.1,59.49
New Jersey Devils,24-25,18-10-3,39,31,1481:27,60,57,1035,994,67.74,56.1
New York Islanders,24-25,11-12-7,29,30,1502:34,53,47,980,1040,59.09,59.19
New York Rangers,24-25,15-12-1,31,28,1344:53,61,58,975,1037,61.85,64.03
Ottawa Senators,24-25,13-13-2,28,28,1320:15,51,56,970,842,53.99,48.88
Philadelphia Flyers,24-25,13-12-4,30,29,1395:49,56,66,922,964,56.28,57.41
Pittsburgh Penguins,24-25,12-14-4,28,30,1463:09,57,84,1074,1091,70.67,69.06
San Jose Sharks,24-25,10-16-5,25,31,1459:31,55,76,946,1185,56.31,71.68
Seattle Kraken,24-25,14-14-2,30,30,1441:00,60,63,1004,1018,53.05,60.1
St Louis Blues,24-25,14-13-2,30,29,1444:36,50,61,904,1017,53.42,60.64
Tampa Bay Lightning,24-25,14-10-2,30,26,1264:51,64,51,844,817,50.72,49.62
Toronto Maple Leafs,24-25,17-9-2,36,28,1313:41,50,38,860,903,51.53,53.06
Utah Hockey Club,24-25,12-11-5,29,28,1341:16,58,48,965,863,57.19,54.04
Vancouver Canucks,24-25,14-8-5,33,27,1281:33,58,55,833,860,47.06,45.48
Vegas Golden Knights,24-25,18-7-3,39,28,1433:00,70,61,946,1054,58.48,65.03
Washington Capitals,24-25,19-6-2,40,27,1283:24,75,52,939,854,61.85,54.99
Winnipeg Jets,24-25,21-9-0,42,30,1483:44,61,48,1035,1050,59.35,63.06
